"","met.x","pathway","GeneID","val.x","cell.x","Group","gene","log2FoldChange","pvalue","cell.y","comparison","group.x","x","met.y","source","group.y","val.y"
"1","4-aminobutanoate","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD4-aminobutanoate","4-aminobutanoate","scnf","DREX_vs_HFD",0.477003590069145
"2","4-aminobutanoate","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD4-aminobutanoate","4-aminobutanoate","untf","DREX_vs_HFD",0.477003590069145
"3","4-aminobutanoate","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-aminobutanoate","4-aminobutanoate","scnf","HFD_vs_SD",-0.509928398230791
"4","4-aminobutanoate","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-aminobutanoate","4-aminobutanoate","untf","HFD_vs_SD",-0.509928398230791
"5","4-aminobutanoate","GABAergic synapse","Gabrr2",1,"mySC","mySC_Gabrr2","Gabrr2",-0.904722536074813,0.00247283298447938,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD4-aminobutanoate","4-aminobutanoate","scnf","DREX_vs_HFD",0.477003590069145
"6","4-aminobutanoate","GABAergic synapse","Gabrr2",1,"mySC","mySC_Gabrr2","Gabrr2",-0.904722536074813,0.00247283298447938,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD4-aminobutanoate","4-aminobutanoate","untf","DREX_vs_HFD",0.477003590069145
"7","4-aminobutanoate","GABAergic synapse","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-aminobutanoate","4-aminobutanoate","scnf","HFD_vs_SD",-0.509928398230791
"8","4-aminobutanoate","GABAergic synapse","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-aminobutanoate","4-aminobutanoate","untf","HFD_vs_SD",-0.509928398230791
"9","4-aminobutanoate","GABAergic synapse","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-aminobutanoate","4-aminobutanoate","scnf","HFD_vs_SD",-0.509928398230791
"10","4-aminobutanoate","GABAergic synapse","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-aminobutanoate","4-aminobutanoate","untf","HFD_vs_SD",-0.509928398230791
"11","Creatinine","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCreatinine","Creatinine","scnf","DREX_vs_HFD",1.61178397567797
"12","Creatinine","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCreatinine","Creatinine","untf","DREX_vs_HFD",1.61178397567797
"13","Creatinine","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCreatinine","Creatinine","scnf","HFD_vs_SD",-0.742841111668344
"14","Creatinine","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCreatinine","Creatinine","untf","HFD_vs_SD",-0.742841111668344
"15","Phosphorylcholine","Choline metabolism in cancer","Slc44a2",1,"mySC","mySC_Slc44a2","Slc44a2",-0.364314888939465,0.00377934640212195,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDPhosphorylcholine","Phosphorylcholine","scnf","DREX_vs_HFD",-1.20445969248819
"16","Phosphorylcholine","Choline metabolism in cancer","Slc44a2",1,"mySC","mySC_Slc44a2","Slc44a2",-0.364314888939465,0.00377934640212195,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDPhosphorylcholine","Phosphorylcholine","untf","DREX_vs_HFD",-1.20445969248819
"17","Choline","ABC transporters","Abca7",1,"mySC","mySC_Abca7","Abca7",-0.552647526783383,0.000834633462145639,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","scnf","DREX_vs_HFD",-2.80298758299549
"18","Choline","ABC transporters","Abca7",1,"mySC","mySC_Abca7","Abca7",-0.552647526783383,0.000834633462145639,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","untf","DREX_vs_HFD",-2.80298758299549
"19","Choline","ABC transporters","Abcc5",1,"mySC","mySC_Abcc5","Abcc5",-0.221488820063858,0.00311678703920418,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","scnf","DREX_vs_HFD",-2.80298758299549
"20","Choline","ABC transporters","Abcc5",1,"mySC","mySC_Abcc5","Abcc5",-0.221488820063858,0.00311678703920418,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","untf","DREX_vs_HFD",-2.80298758299549
"21","Choline","ABC transporters","Abca3",1,"mySC","mySC_Abca3","Abca3",0.428957845808231,0.00680557973939102,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCholine","Choline","scnf","HFD_vs_SD",0.907802032989167
"22","Choline","ABC transporters","Abca3",1,"mySC","mySC_Abca3","Abca3",0.428957845808231,0.00680557973939102,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCholine","Choline","untf","HFD_vs_SD",0.907802032989167
"23","Choline","Cholinergic synapse","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","scnf","DREX_vs_HFD",-2.80298758299549
"24","Choline","Cholinergic synapse","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","untf","DREX_vs_HFD",-2.80298758299549
"25","Choline","Cholinergic synapse","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCholine","Choline","scnf","HFD_vs_SD",0.907802032989167
"26","Choline","Cholinergic synapse","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCholine","Choline","untf","HFD_vs_SD",0.907802032989167
"27","Choline","Cholinergic synapse","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCholine","Choline","scnf","HFD_vs_SD",0.907802032989167
"28","Choline","Cholinergic synapse","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDCholine","Choline","untf","HFD_vs_SD",0.907802032989167
"29","Choline","Choline metabolism in cancer","Slc44a2",1,"mySC","mySC_Slc44a2","Slc44a2",-0.364314888939465,0.00377934640212195,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","scnf","DREX_vs_HFD",-2.80298758299549
